Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
下妻　貴寛,Eagles,700,捕手,6,186,85,B型,右,右,山形,1994-04-15,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ウィーラー,Eagles,20000,内野手,4,178,100,不明,右,右,アメリカ,1987-01-16,40,0.269,106,413,368,99,15,58,3,33,7,91,0,13,0.337,0.432,0.769,4.86,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
青山　浩二,Eagles,2000,投手,13,180,80,B型,右,右,北海道,1983-08-12,41,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,4,1,0,26,0.8,200,48.2,35,2,21,4,37,11,10,1.15,3.55
ハーマン,Eagles,10000,投手,2,193,100,不明,右,左,アメリカ,1984-05-30,42,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,2,3,18,12,0.4,183,45.1,36,2,17,2,44,13,10,1.17,2.88
宋　家豪,Eagles,440,投手,3,185,92,不明,右,左,台湾,1992-09-06,43,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,5,3,0,6,0.625,167,41.2,26,5,21,0,38,9,8,1.13,4.01
足立　祐一,Eagles,1800,捕手,3,178,83,A型,右,右,東京,1989-09-22,44,0.111,20,20,18,2,0,0,0,1,0,4,1,1,0.158,0.111,0.269,-0.89,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菅原　秀,Eagles,1200,投手,2,183,78,O型,右,左,大阪,1994-04-05,45,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33,0,0,0,0,0,101,23.1,22,5,13,0,17,20,19,1.5,6.12
濱矢　廣大,Eagles,950,投手,5,185,78,A型,左,左,奈良,1993-02-27,46,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,0,0,0,0,0,41,9.2,9,1,4,0,8,4,4,1.34,4.05
渡邊　佑樹,Eagles,1000,投手,1,183,85,A型,左,左,山梨,1995-11-08,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
伊志嶺　忠,Eagles,1100,捕手,11,178,78,AB型,右,左,沖縄,1985-06-22,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
